ID,ingredients
0,bacalao
1,huevo
2,espinacas
3,nata
4,leche evaporada
5,limón
6,queso en polvo
7,mantequilla
8,judías verdes
9,salmón ahumado
10,cebolla
11,levadura
12,rodaballo
13,espárragos
14,almejas
15,puerros
16,chalotas
17,cava
18,gallo
19,ajo
20,perejil
21,cerveza
22,harina
23,café
24,colorante
25,emperador
26,patatas
27,tomate
28,pepino
29,trucha
30,vinagre
31,pimentón
32,naranja
33,miel
34,licor 43
35,bacalao
36,langostinos
37,calabazín
38,mejillones
39,caldo de verduras
40,hierbas provenzales
41,queso philadelpia
42,níscalos
43,AOVE
44,preparado vegetariano de carne en tiras
45,placas de lasagna
46,salsa de tomate
47,carne de cocido
48,chorizo
49,queso parmesano
50,mozzarella
51,carne picada
52,pimiento verde
53,pimiento amarillo
54,pimiento rojo
55,zanahoria
56,berenjena
57,tomate frito
58,comino
59,queso rallado
60,leche
61,carne de cerdo
62,carne de res
63,pan rallado
64,guisantes
65,caldo de pollo
66,tomate triturado
67,avecrem
68,vino blanco
69,fideos de fideuà
70,salsa de carne
71,tortellini
72,tortellini con carne
73,fusilli
74,gambas
75,guindilla
76,arroz
77,tomate rallado
78,chipirones
79,calamar
80,caldo de pescado
81,macarrones
82,merluza
83,garbanzos
84,sepia
85,cayena
86,gambones
87,pisto
88,concentrado de tomate
89,fumet de gamba
90,cangrejo
91,harina de tempura
92,kimchi
93,sisho
94,pan de sepia
95,carrillada de cerdo
96,achiote
97,chile en polvo
98,cilantro
99,aguacate
100,lima
101,piña
102,salsa pastor
103,tortilla de trigo
104,masa filo
105,camarones
106,curry
107,castañas
108,aroma de vainilla
109,Caramelo líquido
110,pasta Halloween
111,pesto de cacahuetes
112,muslo de pollo
113,anís
114,setas shiitake
115,albariño
116,mostaza de dijon
117,cebollino
118,ajo en polvo
119,chocolate negro
120,puré de castañas
121,vainilla
122,almendras
123,hojaldre
124,azúcar glas
125,chocolate blanco
126,manzana
127,harina de trigo
128,canela
129,almendras picadas
130,peras
131,nueces
132,queso gorgonzola
133,aguardiente de pera
134,miel de acacia
135,lata de atún
136,alioli
137,queso roquefort
138,frambuesas
139,ensalada cuatro estaciones
140,lata de paté
141,mayonesa
142,pan integral con pipas
143,pepinillos en vinagre
144,huevos de codorniz
145,anchoas
146,aceitunas rellenas
147,queso gruyere
148,nuez moscada
149,lomo de cerdo
150,lentejas
151,pimentón dulce
152,leche de coco
153,jengibre
154,habichuelas cocidas
155,puré de calabaza
156,panela
157,tahini
158,nueces pecanas
159,queso crema
160,albóndigas
161,avecrem de verduras
162,frutos rojos
163,queso mascarpone
164,frambuesas
165,arándanos
166,melón
167,jamón
168,pan de molde
169,fresas
170,granos de granada
171,queso de cabra
172,vinagre balsámico
173,sal de ajo
174,salmón
175,sofrito de paella
176,mostaza
177,cebolleta en vinagre
178,macedonia de frutas
179,uvas
180,galletas maría
